,question,example_answer,pred_answer,exact_matching,lm_evaluation
0,When was the third game in the Diablo series released?,['2012-05-15'],2017,False,False
1,"Did Aristotle begin studying birds, setting down the framework for modern ornithology?","['True', 'Yes']",No.,False,False
2,What year was Boston settled?,['1630'],1630,True,True
3,What United States president never lived in the White House?,['George Washington'],Thomas Jefferson,False,False
4,Which movie was directed by Peter Jackson and came out in 2001?,['The Lord of the Rings: The Fellowship of the Ring'],The Lord of the Rings: The Fellowship of the Ring,True,True
5,When did the author who wrote Gone with the Wind die?,['1949-08-16'],1939,False,False
6,"Which country has a larger population, Argentina or Colombia?",['Colombia'],Colombia,True,True
7,What is the second book in the series by Stephenie Meyer?,['New Moon'],New Moon,True,True
8,What NBA Finals did the Mavericks play in but not win?,['2006 NBA Finals'],2006,False,False
9,When did the second book in the Twilight saga come out?,['2006'],2006,True,True
10,Did the Steelers win the Super Bowl in 1996?,"['False', 'No']",No.,True,True
11,Who is the youngest musician to be inducted to the Rock N' Roll Hall of Fame?,['Ilan Rubin'],Stevie Wonder,False,False
12,"How tall is the singer of ""The Next Episode""?","['6\'1""']",Unknown.,False,False
13,"Which state has more electoral votes, Pennsylvania or Florida?",['Florida'],Pennsylvania,False,False
14,"Which river is longer in the USA, Missouri or Mississippi?",['Missouri River'],Mississippi,False,False
15,What year did the construction of the Leaning Tower of Pisa begin?,['1173'],1173,True,True
16,Who is the youngest Weasley child in the Harry Potter Chamber of Secrets?,['Ginny Weasley'],Ginny,False,True
17,In which Dead Rising does Frank West not make an appearance?,['Dead Rising 3'],Dead Rising 3,True,True
18,What team did Kobe Bryant retire from basketball?,['Los Angeles Lakers'],Los Angeles Lakers,True,True
19,"Which actor starred in Jerry Maguire and was born in Syracuse, NY?",['Tom Cruise'],Cuba Gooding Jr.,False,False
20,Who is a relative of King Tut and is buried at KV35?,['The Younger Lady'],Amenhotep II,False,False
21,Who was Gerald Ford's wife and First Lady?,['Betty Ford'],Betty Ford,True,True
22,Who was the wife of the first African American president?,['Michelle Obama'],Michelle Obama,True,True
